PSRAID,COUNTRY,PHONETYPE,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9A,Q9B,Q9C,Q9D,Q9E,Q9F,Q9G,Q9H,Q9I,Q9J,Q9K,Q9L
118974,Lebanon, ,Dissatisfied, , ,Very bad,Improve a little,Somewhat good,Remain the same,Same (Volunteered),Very favorable,Very favorable,Very unfavorable,Very unfavorable,Very unfavorable,Very favorable,Very favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
118975,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Very bad,Remain the same,Same (Volunteered),Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable, ,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable
118976,Lebanon, ,Satisfied, , ,Somewhat bad,Worsen a little,Somewhat bad,Worsen a little,Better off,Very unfavorable,Very unfavorable,Very favorable,Very favorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable, ,Very unfavorable,Very favorable,Very favorable,Very unfavorable
118977,Lebanon, ,Satisfied, , ,Somewhat bad,Worsen a little,Somewhat bad,Worsen a little,Better off,Very unfavorable,Very unfavorable,Very favorable,Very favorable,Very favorable,Very unfavorable,Very unfavorable, ,Very unfavorable,Very favorable,Very favorable,Very unfavorable
118978,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Very bad,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
118979,Lebanon, ,Satisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Improve a little,Better off,Very unfavorable,Very unfavorable,Very favorable,Somewhat unfavorable,Very favorable,Very unfavorable,Very unfavorable, ,Very unfavorable,Very unfavorable,Somewhat unfavorable,Very unfavorable
118980,Lebanon, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Remain the same,Same (Volunteered),Very favorable,Very favorable,Very unfavorable,Very unfavorable,Very unfavorable,Very favorable,Very favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
118981,Lebanon, ,Dissatisfied, , ,Very bad,Improve a little,Somewhat bad,Improve a little,Better off,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Very favorable, ,Very unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable
118982,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Very bad,Worsen a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very favorable, ,Very unfavorable,Somewhat favorable,Very unfavorable,Very unfavorable
118983,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a little,Very bad,Worsen a little,Worse off,Very favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable
118984,Lebanon, ,Dissatisfied, , ,Very bad,Improve a little,Somewhat bad,Improve a little,Better off,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable, ,Very unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable
118985,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a little,Worse off,Very favorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat favorable,Very unfavorable,Very unfavorable
118986,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a lot,Worse off,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable, ,Very unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable
118987,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Very bad,Remain the same,Same (Volunteered),Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very favorable, ,Very unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable
118988,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a little,Worse off,Somewhat unfavorable,Somewhat favorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable
118989,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Very bad,Worsen a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable
118990,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a lot,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable
118991,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a little,Very bad,Don't know,Better off,Somewhat favorable,Very unfavorable,Don't know,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
118992,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Very bad,Worsen a lot,Same (Volunteered),Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very favorable, ,Very unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable
118993,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable
118994,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Very bad,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
118995,Lebanon, ,Dissatisfied, , ,Very bad,Improve a little,Very bad,Improve a little,Better off,Very favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable
118996,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Very bad,Worsen a little,Don't know,Somewhat favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable
118997,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
118998,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a little,Worse off,Somewhat favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable, ,Very unfavorable,Somewhat unfavorable,Very unfavorable,Refused
118999,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Very bad,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable
119000,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a lot,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable
119001,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a little,Very bad,Worsen a lot,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat favorable,Very unfavorable,Very unfavorable
119002,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Remain the same,Worse off,Somewhat unfavorable,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat favorable,Very unfavorable,Very unfavorable
119003,Lebanon, ,Dissatisfied, , ,Very bad,Improve a little,Somewhat bad,Improve a little,Better off,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable, ,Very unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable
119004,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a lot,Worse off,Somewhat favorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable, ,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable
119005,Lebanon, ,Dissatisfied, , ,Very bad,Improve a little,Very bad,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
119006,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very favorable, ,Very unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable
119007,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a little,Better off,Very unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable, ,Very unfavorable,Somewhat favorable,Very favorable,Very unfavorable
119008,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Very bad,Worsen a lot,Same (Volunteered),Somewhat unfavorable,Somewhat favorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable
119009,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a little,Very bad,Worsen a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable
119010,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Very bad,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable
119011,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Very bad,Remain the same,Same (Volunteered),Somewhat favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable, ,Very unfavorable,Somewhat unfavorable,Very unfavorable,Refused
119012,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a little,Worse off,Very favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable
119013,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable
119014,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Very bad,Remain the same,Better off,Very favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
119015,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a little,Worse off,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very favorable, ,Very unfavorable,Somewhat unfavorable,Very unfavorable,Refused
119016,Lebanon, ,Dissatisfied, , ,Very bad,Improve a little,Very bad,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable
119017,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a little,Don't know,Somewhat favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable
119018,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
119019,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a little,Worse off,Somewhat favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable
119020,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a lot,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable
119021,Lebanon, ,Dissatisfied, , ,Very bad,Improve a little,Very bad,Improve a little,Better off,Very favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable
119022,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
119023,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Remain the same,Better off,Very favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
119024,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a little,Very bad,Worsen a lot,Better off,Very favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat favorable,Very unfavorable,Very unfavorable
119025,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a little,Worse off,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable
119026,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a little,Worse off,Somewhat favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat favorable,Very unfavorable,Very unfavorable
119027,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Very bad,Remain the same,Better off,Somewhat favorable,Very favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Very favorable,Very favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
119028,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a lot,Worse off,Very favorable,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable, ,Very unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable
119029,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Very unfavorable
119030,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Very bad,Remain the same,Don't know,Very unfavorable,Very unfavorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable, ,Very unfavorable,Somewhat favorable,Very unfavorable,Very unfavorable
119031,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a little,Worse off,Somewhat unfavorable,Somewhat favorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable
119032,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Very bad,Worsen a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable
119033,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a lot,Worse off,Very favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable
119034,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a little,Very bad,Don't know,Better off,Very unfavorable,Very unfavorable,Don't know,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
119035,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a little,Very bad,Worsen a lot,Better off,Very favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat favorable,Very unfavorable,Very unfavorable
119036,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a little,Very bad,Don't know,Better off,Somewhat favorable,Very unfavorable,Don't know,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
119037,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a lot,Worse off,Very favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable
119038,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Very bad,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable
119039,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a little,Don't know,Somewhat favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable
119040,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable
119041,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a little,Very bad,Worsen a little,Worse off,Very favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable
119042,Lebanon, ,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat good,Remain the same,Don't know,Very favorable,Very favorable,Very favorable,Very unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
119043,Lebanon, ,Dissatisfied, , ,Very bad,Don't know,Very bad,Worsen a lot,Worse off,Somewhat unfavorable,Very favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Very favorable,Somewhat favorable, ,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable
119044,Lebanon, ,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat good,Worsen a little,Same (Volunteered),Somewhat unfavorable,Somewhat unfavorable,Very favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable, ,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Very unfavorable
119045,Lebanon, ,Dissatisfied, , ,Very bad,Don't know,Somewhat bad,Remain the same,Don't know,Somewhat unfavorable,Somewhat unfavorable,Very favorable,Somewhat unfavorable,Somewhat unfavorable,Very favorable,Very favorable, ,Somewhat unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
119046,Lebanon, ,Satisfied, , ,Somewhat bad,Improve a lot,Somewhat good,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
119047,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a lot,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
119048,Lebanon, ,Dissatisfied, , ,Very bad,Don't know,Very bad,Remain the same,Worse off,Very unfavorable,Very favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Very favorable,Very favorable, ,Somewhat unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
119049,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a little,Very bad,Worsen a lot,Don't know,Very favorable,Very favorable,Very favorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Very favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
119050,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat bad,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
119051,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat bad,Remain the same,Same (Volunteered),Very unfavorable,Very favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very favorable,Very favorable, ,Very unfavorable,Very unfavorable,Very favorable,Very unfavorable
119052,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a lot,Worse off,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
119053,Lebanon, ,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat good,Remain the same,Don't know,Very unfavorable,Somewhat favorable,Very favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
119054,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat bad,Worsen a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
119055,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat bad,Worsen a lot,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
119056,Lebanon, ,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Somewhat unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
119057,Lebanon, ,Dissatisfied, , ,Somewhat bad,Worsen a lot,Somewhat bad,Worsen a lot,Worse off,Somewhat favorable,Very favorable,Very favorable,Somewhat unfavorable,Somewhat favorable,Very favorable,Very favorable, ,Somewhat unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
119058,Lebanon, ,Dissatisfied, , ,Somewhat bad,Don't know,Somewhat bad,Worsen a little,Worse off,Very unfavorable,Very favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable, ,Somewhat unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
119059,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a lot,Worse off,Somewhat unfavorable,Very unfavorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
119060,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat good,Remain the same,Don't know,Very favorable,Very favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
119061,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat bad,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
119062,Lebanon, ,Dissatisfied, , ,Very bad,Don't know,Somewhat good,Remain the same,Same (Volunteered),Somewhat favorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
119063,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a lot,Worse off,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
119064,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Somewhat bad,Don't know,Worse off,Very favorable,Very favorable,Very favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very favorable, ,Somewhat unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
119065,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat bad,Remain the same,Worse off,Somewhat unfavorable,Very unfavorable,Very favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat favorable,Very favorable,Very unfavorable
