PSRAID,COUNTRY,PHONETYPE,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9A,Q9B,Q9C,Q9D,Q9E,Q9F,Q9G
101981,South Korea, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat bad,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
101982,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Remain the same,Better off,Somewhat favorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
101983,South Korea, ,Dissatisfied, , ,Somewhat good,Improve a little,Somewhat good,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101984,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Don't know,Remain the same,Same (Volunteered),Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable
101985,South Korea, ,Dissatisfied, , ,Very bad,Worsen a little,Very bad,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable
101986,South Korea, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat bad,Improve a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101987,South Korea, ,Dissatisfied, , ,Somewhat bad,Don't know,Somewhat good,Remain the same,Worse off,Somewhat favorable,Very favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very favorable,Very favorable
101988,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Improve a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
101989,South Korea, ,Satisfied, , ,Somewhat bad,Remain the same,Somewhat good,Remain the same,Worse off,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Don't know,Somewhat unfavorable,Somewhat favorable,Very favorable
101990,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Remain the same,Worse off,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable
101991,South Korea, ,Satisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Worsen a little,Better off,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable
101992,South Korea, ,Satisfied, , ,Somewhat good,Improve a little,Somewhat good,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Don't know,Somewhat unfavorable,Somewhat favorable,Don't know,Very favorable
101993,South Korea, ,Dissatisfied, , ,Very bad,Improve a little,Very bad,Improve a little,Better off,Very favorable,Very favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101994,South Korea, ,Dissatisfied, , ,Somewhat good,Worsen a little,Somewhat bad,Remain the same,Worse off,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Don't know,Don't know,Somewhat favorable
101995,South Korea, ,Don't know, , ,Somewhat bad,Improve a little,Somewhat good,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101996,South Korea, ,Satisfied, , ,Very bad,Improve a little,Somewhat good,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101997,South Korea, ,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Improve a little,Worse off,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
101998,South Korea, ,Satisfied, , ,Somewhat good,Improve a little,Somewhat good,Improve a little,Better off,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Don't know
101999,South Korea, ,Satisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Improve a lot,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
102000,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Don't know,Somewhat favorable,Somewhat favorable
102001,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable
102002,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Very bad,Remain the same,Worse off,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
102003,South Korea, ,Dissatisfied, , ,Somewhat bad,Worsen a lot,Somewhat bad,Worsen a little,Worse off,Refused,Refused,Refused,Refused,Refused,Refused,Somewhat unfavorable
102004,South Korea, ,Dissatisfied, , ,Somewhat bad,Improve a little,Very bad,Remain the same,Better off,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable
102005,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
102006,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Remain the same,Better off,Somewhat favorable,Very favorable,Very favorable,Very unfavorable,Very favorable,Somewhat favorable,Very favorable
102007,South Korea, ,Satisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
102008,South Korea, ,Satisfied, , ,Somewhat bad,Improve a little,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
102009,South Korea, ,Dissatisfied, , ,Somewhat good,Remain the same,Somewhat bad,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Don't know,Don't know,Don't know,Don't know
102010,South Korea, ,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat good,Worsen a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Don't know,Somewhat favorable,Don't know
102011,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Improve a little,Worse off,Don't know,Don't know,Somewhat unfavorable,Don't know,Don't know,Somewhat favorable,Somewhat favorable
102012,South Korea, ,Satisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
102013,South Korea, ,Satisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Improve a little,Better off,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Don't know,Somewhat unfavorable
102014,South Korea, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Improve a little,Worse off,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
102015,South Korea, ,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Worsen a little,Better off,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
102016,South Korea, ,Dissatisfied, , ,Somewhat good,Improve a little,Somewhat good,Remain the same,Better off,Somewhat favorable,Very unfavorable,Very favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
102017,South Korea, ,Satisfied, , ,Somewhat bad,Remain the same,Somewhat good,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
102018,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Improve a little,Better off,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
102019,South Korea, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat good,Improve a lot,Worse off,Don't know,Don't know,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Very favorable,Somewhat unfavorable
102020,South Korea, ,Satisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
102021,South Korea, ,Satisfied, , ,Somewhat bad,Remain the same,Very bad,Improve a little,Worse off,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable
102022,South Korea, ,Dissatisfied, , ,Somewhat good,Remain the same,Somewhat bad,Worsen a little,Better off,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable
102023,South Korea, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat good,Remain the same,Worse off,Very favorable,Very favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very favorable,Very favorable
102024,South Korea, ,Satisfied, , ,Somewhat good,Improve a little,Somewhat bad,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very favorable,Somewhat favorable,Somewhat favorable,Very favorable
102025,South Korea, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat bad,Worsen a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
102026,South Korea, ,Satisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
102027,South Korea, ,Dissatisfied, , ,Somewhat good,Improve a little,Somewhat good,Remain the same,Better off,Very favorable,Very favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Very favorable
102028,South Korea, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat bad,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
102029,South Korea, ,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Don't know,Somewhat favorable,Somewhat favorable
102030,South Korea, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Don't know,Remain the same,Better off,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Don't know,Somewhat favorable,Somewhat favorable
102031,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Remain the same,Better off,Somewhat unfavorable,Don't know,Somewhat unfavorable,Don't know,Don't know,Somewhat unfavorable,Somewhat favorable
102032,South Korea, ,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat good,Remain the same,Better off,Very favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable
102033,South Korea, ,Dissatisfied, , ,Somewhat bad,Don't know,Somewhat bad,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Don't know,Don't know,Don't know,Somewhat favorable
102034,South Korea, ,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Worsen a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
102035,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Very favorable,Very favorable
102036,South Korea, ,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat good,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
102037,South Korea, ,Dissatisfied, , ,Somewhat bad,Don't know,Somewhat bad,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
102038,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
102039,South Korea, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat bad,Remain the same,Better off,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
102040,South Korea, ,Satisfied, , ,Somewhat bad,Remain the same,Somewhat good,Improve a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
102041,South Korea, ,Refused, , ,Somewhat bad,Improve a little,Somewhat good,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Very favorable,Don't know,Don't know,Don't know,Somewhat favorable
102042,South Korea, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat good,Worsen a little,Worse off,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Very favorable
102043,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Improve a little,Better off,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable
102044,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
102045,South Korea, ,Satisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
102046,South Korea, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
102047,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Improve a little,Worse off,Somewhat unfavorable,Don't know,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable
102048,South Korea, ,Satisfied, , ,Somewhat bad,Remain the same,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Don't know,Don't know,Somewhat favorable,Somewhat favorable
102049,South Korea, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat bad,Don't know,Worse off,Somewhat unfavorable,Don't know,Very favorable,Don't know,Don't know,Somewhat favorable,Don't know
102050,South Korea, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Don't know,Somewhat favorable,Somewhat favorable,Somewhat favorable
102051,South Korea, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat good,Remain the same,Don't know,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
102052,South Korea, ,Satisfied, , ,Somewhat bad,Improve a little,Somewhat good,Improve a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Don't know,Somewhat favorable,Don't know,Somewhat favorable
102053,South Korea, ,Dissatisfied, , ,Very bad,Remain the same,Very bad,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable
102054,South Korea, ,Satisfied, , ,Somewhat bad,Remain the same,Somewhat good,Improve a little,Worse off,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
102055,South Korea, ,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Very favorable,Somewhat favorable,Very favorable
102056,South Korea, ,Satisfied, , ,Somewhat bad,Worsen a little,Somewhat bad,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
102057,South Korea, ,Dissatisfied, , ,Somewhat bad,Worsen a lot,Somewhat good,Worsen a little,Better off,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
102058,South Korea, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Very bad,Worsen a little,Better off,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
102059,South Korea, ,Dissatisfied, , ,Very bad,Worsen a lot,Somewhat bad,Worsen a lot,Worse off,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable
102060,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Worsen a little,Worse off,Somewhat unfavorable,Somewhat unfavorable,Don't know,Don't know,Don't know,Don't know,Very favorable
102061,South Korea, ,Satisfied, , ,Somewhat good,Remain the same,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
102062,South Korea, ,Dissatisfied, , ,Very bad,Improve a little,Somewhat bad,Improve a little,Better off,Very favorable,Somewhat favorable,Very favorable,Somewhat favorable,Somewhat favorable,Don't know,Very favorable
102063,South Korea, ,Dissatisfied, , ,Very bad,Improve a little,Somewhat bad,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
102064,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Improve a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
102065,South Korea, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat bad,Worsen a little,Worse off,Somewhat unfavorable,Very favorable,Somewhat unfavorable,Very favorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable
102066,South Korea, ,Dissatisfied, , ,Somewhat good,Improve a little,Very bad,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable
102067,South Korea, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Don't know,Somewhat favorable
102068,South Korea, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat bad,Worsen a little,Worse off,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
102069,South Korea, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat good,Worsen a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Don't know,Somewhat favorable,Very favorable,Somewhat favorable
102070,South Korea, ,Dissatisfied, , ,Very bad,Improve a little,Very bad,Remain the same,Don't know,Very unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
102071,South Korea, ,Satisfied, , ,Somewhat good,Remain the same,Somewhat good,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
102072,South Korea, ,Satisfied, , ,Somewhat good,Improve a lot,Somewhat bad,Improve a little,Don't know,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Don't know,Somewhat favorable,Don't know,Don't know
102073,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Don't know,Don't know,Somewhat favorable,Somewhat favorable
102074,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Improve a little,Better off,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
102075,South Korea, ,Satisfied, , ,Somewhat good,Remain the same,Somewhat good,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
102076,South Korea, ,Satisfied, , ,Somewhat good,Improve a little,Somewhat bad,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Refused,Refused,Don't know,Very favorable
102077,South Korea, ,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Don't know,Somewhat favorable,Very favorable
102078,South Korea, ,Satisfied, , ,Somewhat bad,Remain the same,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very favorable,Very favorable,Somewhat favorable,Somewhat favorable
102079,South Korea, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat good,Worsen a little,Don't know,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
102080,South Korea, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat good,Remain the same,Worse off,Somewhat unfavorable,Don't know,Somewhat unfavorable,Don't know,Don't know,Somewhat favorable,Very favorable
102081,South Korea, ,Satisfied, , ,Somewhat bad,Remain the same,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very favorable
102082,South Korea, ,Satisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Don't know,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable
102083,South Korea, ,Dissatisfied, , ,Very bad,Remain the same,Very bad,Worsen a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Don't know,Somewhat favorable
102084,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
102085,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
102086,South Korea, ,Satisfied, , ,Somewhat good,Remain the same,Somewhat good,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
102087,South Korea, ,Satisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Remain the same,Better off,Very favorable,Very favorable,Very favorable,Somewhat favorable,Somewhat favorable,Very favorable,Very favorable
102088,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Very bad,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
102089,South Korea, ,Satisfied, , ,Very bad,Remain the same,Very bad,Remain the same,Worse off,Somewhat unfavorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Don't know,Don't know,Don't know
102090,South Korea, ,Dissatisfied, , ,Somewhat good,Remain the same,Somewhat good,Remain the same,Worse off,Somewhat unfavorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Very favorable,Very favorable
102091,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Worsen a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Very favorable
102092,South Korea, ,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Improve a little,Better off,Very favorable,Very favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
102093,South Korea, ,Satisfied, , ,Somewhat good,Remain the same,Somewhat good,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very favorable
102094,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Remain the same,Worse off,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable
102095,South Korea, ,Dissatisfied, , ,Very bad,Improve a little,Somewhat bad,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Don't know,Somewhat favorable,Somewhat favorable,Somewhat favorable
102096,South Korea, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat bad,Remain the same,Better off,Very favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
102097,South Korea, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable
102098,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Very favorable,Very favorable
102099,South Korea, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat bad,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Don't know,Somewhat favorable,Don't know,Somewhat unfavorable
102100,South Korea, ,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable
102101,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Remain the same,Same (Volunteered),Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Don't know,Don't know,Somewhat favorable
