PSRAID,COUNTRY,PHONETYPE,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9A,Q9B,Q9C,Q9D,Q9E,Q9F,Q9G,Q9H,Q9I
100969,United States,cell phone,Satisfied, , ,Somewhat bad,Improve a little,Somewhat good,Improve a little,Better off,Very favorable,Very favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
100970,United States,cell phone,Dissatisfied, , ,Very bad,Improve a little,Somewhat bad,Remain the same,Worse off,Very favorable,Very favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
100971,United States,cell phone,Dissatisfied, , ,Very bad,Improve a little,Somewhat good,Improve a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very favorable
100972,United States,cell phone,Satisfied, , ,Somewhat good,Remain the same,Very good,Improve a little,Worse off,Somewhat favorable,Very favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable
100973,United States,cell phone,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat bad,Worsen a little,Worse off,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Very favorable,Somewhat favorable
100974,United States,cell phone,Satisfied, , ,Very good,Improve a little,Very good,Improve a little,Better off,Very favorable,Very favorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Very favorable,Very favorable,Somewhat unfavorable,Very favorable
100975,United States,cell phone,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Improve a little,Better off,Very favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Very favorable,Somewhat favorable,Very favorable
100976,United States,cell phone,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very favorable
100977,United States,cell phone,Dissatisfied, , ,Somewhat bad,Worsen a lot,Somewhat good,Worsen a little,Worse off,Very favorable,Very favorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Very favorable
100978,United States,cell phone,Dissatisfied, , ,Very bad,Worsen a lot,Somewhat good,Remain the same,Worse off,Very favorable,Very favorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Very favorable
100979,United States,cell phone,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat good,Remain the same,Worse off,Somewhat favorable,Very favorable,Somewhat favorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable
100980,United States,cell phone,Dissatisfied, , ,Very bad,Worsen a little,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable,Somewhat favorable
100981,United States,cell phone,Dissatisfied, , ,Very bad,Remain the same,Very bad,Worsen a little,Worse off,Somewhat favorable,Very favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Don't know,Don't know,Don't know,Very unfavorable
100982,United States,cell phone,Dissatisfied, , ,Very bad,Don't know,Somewhat good,Improve a little,Worse off,Very favorable,Very favorable,Refused,Refused,Refused,Refused,Very unfavorable,Refused,Very favorable
100983,United States,cell phone,Dissatisfied, , ,Somewhat good,Worsen a little,Somewhat good,Improve a lot,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable
100984,United States,cell phone,Dissatisfied, , ,Very bad,Worsen a lot,Somewhat bad,Worsen a little,Worse off,Very favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable,Very unfavorable,Very favorable
100985,United States,cell phone,Dissatisfied, , ,Very bad,Improve a little,Very bad,Improve a little,Worse off,Somewhat favorable,Very favorable,Don't know,Somewhat unfavorable,Don't know,Don't know,Don't know,Don't know,Don't know
100986,United States,cell phone,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Improve a lot,Better off,Very favorable,Very favorable,Somewhat unfavorable,Very unfavorable,Somewhat favorable,Very favorable,Somewhat unfavorable,Somewhat favorable,Don't know
100987,United States,cell phone,Satisfied, , ,Somewhat good,Improve a lot,Very good,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
100988,United States,cell phone,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat good,Remain the same,Worse off,Refused,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Don't know,Somewhat favorable,Don't know,Don't know,Don't know
100989,United States,cell phone,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Improve a little,Worse off,Don't know,Somewhat favorable,Don't know,Somewhat unfavorable,Don't know,Don't know,Don't know,Don't know,Don't know
100990,United States,cell phone,Dissatisfied, , ,Very bad,Worsen a lot,Very good,Worsen a little,Worse off,Somewhat favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable
100991,United States,cell phone,Dissatisfied, , ,Very bad,Worsen a little,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
100992,United States,cell phone,Satisfied, , ,Somewhat good,Improve a little,Somewhat good,Remain the same,Worse off,Very favorable,Very favorable,Somewhat favorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
100993,United States,cell phone,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat good,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Don't know,Don't know,Don't know,Don't know,Very favorable,Don't know,Don't know
100994,United States,cell phone,Dissatisfied, , ,Very bad,Worsen a lot,Very good,Remain the same,Worse off,Very favorable,Very favorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable
100995,United States,cell phone,Dissatisfied, , ,Very bad,Worsen a little,Very bad,Worsen a lot,Worse off,Very favorable,Very favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Don't know,Very favorable
100996,United States,cell phone,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Remain the same,Worse off,Somewhat unfavorable,Somewhat favorable,Very favorable,Very favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable
100997,United States,cell phone,Satisfied, , ,Somewhat good,Improve a little,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable
100998,United States,cell phone,Satisfied, , ,Somewhat good,Remain the same,Somewhat good,Improve a little,Worse off,Somewhat favorable,Somewhat favorable,Don't know,Don't know,Somewhat favorable,Somewhat favorable,Somewhat favorable,Don't know,Don't know
100999,United States,cell phone,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Don't know,Don't know,Don't know,Don't know,Don't know,Somewhat unfavorable,Don't know
101000,United States,cell phone,Dissatisfied, , ,Somewhat good,Improve a little,Somewhat bad,Remain the same,Better off,Very favorable,Very favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Very favorable,Very favorable
101001,United States,cell phone,Dissatisfied, , ,Very bad,Remain the same,Very bad,Remain the same,Worse off,Very unfavorable,Very unfavorable,Somewhat unfavorable,Very unfavorable,Don't know,Somewhat unfavorable,Very unfavorable,Don't know,Very unfavorable
101002,United States,cell phone,Dissatisfied, , ,Somewhat good,Improve a little,Very good,Improve a little,Better off,Very favorable,Somewhat favorable,Somewhat favorable,Don't know,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Very favorable
102512,Canada,landline,Satisfied, , ,Very good,Improve a lot,Very good,Improve a lot,Better off,Very favorable,Very favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable, 
102513,Canada,cell phone,Satisfied, , ,Very good,Improve a lot,Very good,Improve a lot,Refused,Somewhat unfavorable,Somewhat favorable,Don't know,Don't know,Don't know,Don't know,Somewhat favorable,Somewhat favorable, 
102514,Canada,landline,Satisfied, , ,Very good,Improve a lot,Very good,Improve a little,Better off,Very favorable,Very favorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat favorable, 
102515,Canada,landline,Satisfied, , ,Very good,Improve a lot,Very good,Remain the same,Better off,Very favorable,Somewhat unfavorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Don't know,Very unfavorable,Don't know, 
102517,Canada,landline,Satisfied, , ,Very good,Improve a lot,Somewhat good,Improve a little,Worse off,Somewhat favorable,Very favorable,Very unfavorable,Very unfavorable,Very unfavorable,Very favorable,Very unfavorable,Don't know, 
102518,Canada,landline,Satisfied, , ,Very good,Improve a lot,Somewhat good,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Don't know,Very favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable, 
102519,Canada,landline,Satisfied, , ,Very good,Improve a little,Very good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable, 
102520,Canada,landline,Satisfied, , ,Very good,Improve a little,Very good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable, 
102521,Canada,cell phone,Satisfied, , ,Very good,Improve a little,Somewhat good,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable, 
102522,Canada,landline,Satisfied, , ,Very good,Improve a little,Somewhat good,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat favorable,Somewhat favorable, 
102523,Canada,landline,Satisfied, , ,Very good,Improve a little,Somewhat good,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, 
102527,Canada,landline,Satisfied, , ,Very good,Improve a little,Somewhat good,Remain the same,Better off,Somewhat favorable,Very favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable, 
102528,Canada,landline,Satisfied, , ,Very good,Improve a little,Somewhat good,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Very favorable,Very favorable,Very favorable, 
102529,Canada,landline,Satisfied, , ,Very good,Improve a little,Somewhat good,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Don't know,Don't know,Very favorable,Very favorable,Don't know, 
102530,Canada,landline,Satisfied, , ,Very good,Improve a little,Somewhat good,Remain the same,Better off,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Very favorable,Somewhat favorable, 
102531,Canada,landline,Satisfied, , ,Very good,Improve a little,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable, 
102532,Canada,landline,Satisfied, , ,Very good,Improve a little,Somewhat good,Remain the same,Same (Volunteered),Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Don't know,Somewhat favorable,Somewhat favorable, 
102533,Canada,landline,Satisfied, , ,Very good,Improve a little,Somewhat good,Remain the same,Don't know,Very favorable,Very favorable,Very favorable,Don't know,Don't know,Don't know,Don't know,Don't know, 
102534,Canada,landline,Satisfied, , ,Very good,Remain the same,Very good,Improve a little,Better off,Somewhat favorable,Very favorable,Somewhat favorable,Very unfavorable,Somewhat favorable,Very favorable,Somewhat favorable,Somewhat favorable, 
102535,Canada,landline,Satisfied, , ,Very good,Remain the same,Very good,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Very favorable,Somewhat favorable, 
102536,Canada,landline,Satisfied, , ,Very good,Remain the same,Very good,Improve a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable, 
102537,Canada,landline,Satisfied, , ,Very good,Remain the same,Very good,Improve a little,Worse off,Somewhat unfavorable,Somewhat favorable,Very favorable,Very favorable,Very favorable,Very favorable,Very unfavorable,Very unfavorable, 
102538,Canada,landline,Satisfied, , ,Very good,Remain the same,Very good,Remain the same,Better off,Somewhat favorable,Very favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Very favorable,Very favorable,Don't know, 
102539,Canada,cell phone,Satisfied, , ,Very good,Remain the same,Somewhat good,Improve a lot,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable, 
102540,Canada,landline,Satisfied, , ,Very good,Remain the same,Somewhat good,Improve a little,Worse off,Very favorable,Very favorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Very favorable,Very favorable,Very favorable, 
102541,Canada,landline,Satisfied, , ,Very good,Remain the same,Somewhat good,Remain the same,Better off,Very favorable,Very favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable, 
102542,Canada,landline,Satisfied, , ,Very good,Remain the same,Somewhat good,Remain the same,Better off,Somewhat favorable,Very favorable,Somewhat unfavorable,Very unfavorable,Very unfavorable,Very favorable,Somewhat unfavorable,Very favorable, 
102543,Canada,landline,Satisfied, , ,Very good,Remain the same,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Don't know,Somewhat favorable,Very favorable,Very favorable, 
102544,Canada,cell phone,Satisfied, , ,Very good,Remain the same,Somewhat good,Remain the same,Same (Volunteered),Very favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable, 
102545,Canada,landline,Satisfied, , ,Very good,Remain the same,Somewhat good,Worsen a little,Worse off,Very favorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat favorable, 
102546,Canada,landline,Satisfied, , ,Very good,Remain the same,Very bad,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Don't know, 
102547,Canada,cell phone,Satisfied, , ,Very good,Remain the same,Don't know,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very favorable,Very favorable,Somewhat favorable,Don't know, 
102548,Canada,landline,Satisfied, , ,Very good,Worsen a little,Somewhat good,Remain the same,Worse off,Very unfavorable,Very unfavorable,Very favorable,Don't know,Very unfavorable,Very unfavorable,Very favorable,Very favorable, 
102549,Canada,landline,Satisfied, , ,Very good,Worsen a lot,Somewhat good,Improve a lot,Don't know,Somewhat unfavorable,Somewhat unfavorable,Very favorable,Somewhat unfavorable,Don't know,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable, 
102550,Canada,landline,Satisfied, , ,Very good,Don't know,Somewhat good,Remain the same,Don't know,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Don't know,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable, 
102551,Canada,landline,Satisfied, , ,Very good,Don't know,Somewhat good,Don't know,Don't know,Very favorable,Very favorable,Don't know,Don't know,Very favorable,Don't know,Very favorable,Don't know, 
102552,Canada,landline,Satisfied, , ,Somewhat good,Improve a lot,Very good,Improve a lot,Better off,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable, 
102553,Canada,cell phone,Satisfied, , ,Somewhat good,Improve a lot,Very good,Improve a lot,Better off,Don't know,Don't know,Somewhat favorable,Don't know,Don't know,Don't know,Don't know,Don't know, 
102554,Canada,cell phone,Satisfied, , ,Somewhat good,Improve a lot,Very good,Improve a little,Better off,Somewhat favorable,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, 
102555,Canada,landline,Satisfied, , ,Somewhat good,Improve a lot,Very good,Improve a little,Better off,Somewhat unfavorable,Somewhat unfavorable,Don't know,Don't know,Somewhat unfavorable,Don't know,Don't know,Don't know, 
102556,Canada,landline,Satisfied, , ,Somewhat good,Improve a lot,Very good,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable, 
102557,Canada,landline,Satisfied, , ,Somewhat good,Improve a lot,Very good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat favorable,Very favorable,Don't know, 
102558,Canada,landline,Satisfied, , ,Somewhat good,Improve a lot,Very good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Very favorable,Somewhat favorable,Somewhat favorable, 
102559,Canada,cell phone,Satisfied, , ,Somewhat good,Improve a lot,Somewhat good,Improve a lot,Better off,Somewhat favorable,Somewhat favorable,Very favorable,Somewhat favorable,Somewhat favorable,Very favorable,Somewhat favorable,Very unfavorable, 
102561,Canada,cell phone,Satisfied, , ,Somewhat good,Improve a lot,Somewhat good,Improve a little,Better off,Somewhat favorable,Very favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Very unfavorable,Don't know,Somewhat favorable, 
102562,Canada,landline,Satisfied, , ,Somewhat good,Improve a lot,Somewhat good,Remain the same,Better off,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know, 
102563,Canada,cell phone,Satisfied, , ,Somewhat good,Improve a little,Very good,Improve a lot,Better off,Very favorable,Very favorable,Somewhat favorable,Somewhat unfavorable,Very favorable,Very favorable,Very favorable,Very favorable, 
102564,Canada,landline,Satisfied, , ,Somewhat good,Improve a little,Very good,Improve a little,Better off,Very favorable,Very favorable,Don't know,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Don't know, 
102565,Canada,landline,Satisfied, , ,Somewhat good,Improve a little,Very good,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Don't know,Somewhat favorable,Don't know, 
102566,Canada,landline,Satisfied, , ,Somewhat good,Improve a little,Very good,Improve a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very favorable,Somewhat favorable,Somewhat favorable, 
102568,Canada,landline,Satisfied, , ,Somewhat good,Improve a little,Very good,Improve a little,Don't know,Very favorable,Very favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Don't know, 
102569,Canada,landline,Satisfied, , ,Somewhat good,Improve a little,Very good,Remain the same,Better off,Very favorable,Very favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Very favorable,Very favorable, 
102570,Canada,landline,Satisfied, , ,Somewhat good,Improve a little,Very good,Remain the same,Better off,Very favorable,Somewhat favorable,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know, 
102571,Canada,landline,Satisfied, , ,Somewhat good,Improve a little,Very good,Remain the same,Better off,Somewhat favorable,Very favorable,Very favorable,Don't know,Very favorable,Don't know,Somewhat favorable,Somewhat favorable, 
102573,Canada,landline,Satisfied, , ,Somewhat good,Improve a little,Very good,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable, 
102574,Canada,landline,Satisfied, , ,Somewhat good,Improve a little,Very good,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable, 
102575,Canada,landline,Satisfied, , ,Somewhat good,Improve a little,Very good,Remain the same,Better off,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable, 
102576,Canada,landline,Satisfied, , ,Somewhat good,Improve a little,Very good,Remain the same,Worse off,Very favorable,Very favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very favorable,Very favorable,Very favorable, 
102577,Canada,landline,Satisfied, , ,Somewhat good,Improve a little,Very good,Remain the same,Worse off,Very favorable,Very favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable, 
102578,Canada,landline,Satisfied, , ,Somewhat good,Improve a little,Very good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very favorable, 
102579,Canada,landline,Satisfied, , ,Somewhat good,Improve a little,Very good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Very favorable,Very favorable, 
102580,Canada,landline,Satisfied, , ,Somewhat good,Improve a little,Very good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable, 
102581,Canada,landline,Satisfied, , ,Somewhat good,Improve a little,Very good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable, 
102582,Canada,landline,Satisfied, , ,Somewhat good,Improve a little,Very good,Remain the same,Worse off,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, 
102583,Canada,landline,Satisfied, , ,Somewhat good,Improve a little,Very good,Remain the same,Worse off,Don't know,Don't know,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very favorable,Somewhat favorable,Don't know, 
102584,Canada,landline,Satisfied, , ,Somewhat good,Improve a little,Very good,Remain the same,Don't know,Somewhat favorable,Refused,Somewhat unfavorable,Don't know,Don't know,Somewhat unfavorable,Don't know,Don't know, 
102585,Canada,cell phone,Satisfied, , ,Somewhat good,Improve a little,Somewhat good,Improve a lot,Better off,Somewhat favorable,Somewhat favorable,Very favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable, 
102586,Canada,cell phone,Satisfied, , ,Somewhat good,Improve a little,Somewhat good,Improve a lot,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very favorable,Very favorable,Somewhat favorable, 
102587,Canada,landline,Satisfied, , ,Somewhat good,Improve a little,Somewhat good,Improve a lot,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable, 
102588,Canada,landline,Satisfied, , ,Somewhat good,Improve a little,Somewhat good,Improve a lot,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Don't know, 
102589,Canada,landline,Satisfied, , ,Somewhat good,Improve a little,Somewhat good,Improve a lot,Worse off,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable, 
102590,Canada,landline,Satisfied, , ,Somewhat good,Improve a little,Somewhat good,Improve a little,Better off,Very favorable,Very favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Don't know, 
102591,Canada,landline,Satisfied, , ,Somewhat good,Improve a little,Somewhat good,Improve a little,Better off,Very favorable,Very favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Don't know,Somewhat favorable, 
102592,Canada,landline,Satisfied, , ,Somewhat good,Improve a little,Somewhat good,Improve a little,Better off,Very favorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Very favorable,Very favorable,Very favorable, 
102593,Canada,cell phone,Satisfied, , ,Somewhat good,Improve a little,Somewhat good,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Very favorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, 
102594,Canada,landline,Satisfied, , ,Somewhat good,Improve a little,Somewhat good,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Very favorable,Somewhat favorable, 
102595,Canada,landline,Satisfied, , ,Somewhat good,Improve a little,Somewhat good,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable, 
102596,Canada,cell phone,Satisfied, , ,Somewhat good,Improve a little,Somewhat good,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable, 
102597,Canada,landline,Satisfied, , ,Somewhat good,Improve a little,Somewhat good,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable, 
102598,Canada,cell phone,Satisfied, , ,Somewhat good,Improve a little,Somewhat good,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable, 
102599,Canada,landline,Satisfied, , ,Somewhat good,Improve a little,Somewhat good,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Refused,Somewhat unfavorable,Somewhat favorable, 
102600,Canada,landline,Satisfied, , ,Somewhat good,Improve a little,Somewhat good,Improve a little,Better off,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Don't know,Somewhat favorable,Somewhat favorable,Somewhat favorable, 
